SOC2digit,Occupation,Occupation,Empl(PlaceofWork),Probability,Order
Management (11-0000),Social and Community Service Managers,Social and Community Service Managers (11-9151),506.3410662,0.0067,4
Management (11-0000),Training and Development Managers,Training and Development Managers (11-3131),56.78448185,0.0063,4
Management (11-0000),"Transportation, Storage, and Distribution Managers","Transportation, Storage, and Distribution Managers (11-3071)",296.6008749,0.59,4
Architecture and Engineering (17-0000),Aerospace Engineering and Operations Technicians,Aerospace Engineering and Operations Technicians (17-3021),17.15020742,0.48,5
Architecture and Engineering (17-0000),Aerospace Engineers,Aerospace Engineers (17-2011),152.6091773,0.017,5
Architecture and Engineering (17-0000),Agricultural Engineers,Agricultural Engineers (17-2021),2.285453466,0.49,5
Architecture and Engineering (17-0000),"Architects, Except Landscape and Naval","Architects, Except Landscape and Naval (17-1011)",315.6160118,0.018,5
Architecture and Engineering (17-0000),Architectural and Civil Drafters,Architectural and Civil Drafters (17-3011),180.5079117,0.52,5
Architecture and Engineering (17-0000),Biomedical Engineers,Biomedical Engineers (17-2031),22.19033956,0.037,5
Architecture and Engineering (17-0000),Cartographers and Photogrammetrists,Cartographers and Photogrammetrists (17-1021),21.91777644,0.88,5
Architecture and Engineering (17-0000),Chemical Engineers,Chemical Engineers (17-2041),46.59025312,0.017,5
Architecture and Engineering (17-0000),Civil engineering technicians,Civil Engineering Technicians (17-3022),109.9341142,0.75,5
Architecture and Engineering (17-0000),Civil Engineers,Civil Engineers (17-2051),656.3939299,0.019,5
Architecture and Engineering (17-0000),Computer Hardware Engineers,Computer Hardware Engineers (17-2061),44.7812067,0.22,5
Architecture and Engineering (17-0000),Electrical and Electronics Drafters,Electrical and Electronics Drafters (17-3012),38.38039934,0.81,5
Architecture and Engineering (17-0000),Electrical and Electronics Engineering Technicians,Electrical and Electronic Engineering Technicians (17-3023),126.2017374,0.84,5
Architecture and Engineering (17-0000),Electrical Engineers,Electrical Engineers (17-2071),227.1448657,0.1,5
Architecture and Engineering (17-0000),Electro-Mechanical Technicians,Electro-Mechanical Technicians (17-3024),7.168664002,0.81,5
Architecture and Engineering (17-0000),"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer (17-2072)",170.9459695,0.025,5
Architecture and Engineering (17-0000),"Engineering Technicians, Except Drafters, All Other","Engineering Technicians, Except Drafters, All Other (17-3029)",131.5069933,0.24,5
Architecture and Engineering (17-0000),"Engineers, All Other","Engineers, All Other (17-2199)",197.6921752,0.014,5
Architecture and Engineering (17-0000),Environmental Engineering Technicians,Environmental Engineering Technicians (17-3025),32.89481466,0.25,5
Architecture and Engineering (17-0000),Environmental Engineers,Environmental Engineers (17-2081),107.4477344,0.018,5
Architecture and Engineering (17-0000),"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","Health and Safety Engineers, Except Mining Safety Engineers and Inspectors (17-2111)",43.29465908,0.028,5
Architecture and Engineering (17-0000),Industrial Engineering Technicians,Industrial Engineering Technicians (17-3026),85.48569842,0.03,5
Architecture and Engineering (17-0000),Industrial Engineers,Industrial Engineers (17-2112),329.7992831,0.029,5
Architecture and Engineering (17-0000),Landscape Architects,Landscape Architects (17-1012),54.593133,0.045,5
Architecture and Engineering (17-0000),Marine Engineers and Naval Architects,Marine Engineers and Naval Architects (17-2121),13.63885789,0.01,5
Architecture and Engineering (17-0000),Materials Engineers,Materials Engineers (17-2131),40.85936158,0.021,5
Architecture and Engineering (17-0000),Mechanical drafters,Mechanical Drafters (17-3013),108.8350433,0.68,5
Architecture and Engineering (17-0000),Mechanical Engineering Technicians,Mechanical Engineering Technicians (17-3027),46.95901814,0.38,5
